family,name_x,name_y,len_x,len_y,pid,bin,n_ref,sw_prec,sw_rec,sw_f1,sw_ms,dedal_prec,dedal_rec,dedal_f1,dedal_ms
PF00583,ARGA_ECOLI/306-413,Q9ZMB2_HELPJ/21-143,108,123,0.0787,0,104,0.0,0.0,0.0,24.89,0.6923,0.5192,0.5934,381.83
PF01565,Q1K764_NEUCR/70-205,MURB_CAUVC/32-163,136,132,0.0786,0,127,0.0,0.0,0.0,34.09,0.4488,0.4488,0.4488,382.39
PF00027,Q6AKA0_DESPS/195-279,Q81AV5_BACCR/33-121,85,89,0.0989,0,83,0.0,0.0,0.0,14.52,0.4828,0.3373,0.3972,511.45
PF00013,A1C7J2_ASPCL/505-568,RRP4_AERPE/149-207,64,59,0.0556,0,51,0.0,0.0,0.0,7.14,0.4655,0.5294,0.4954,415.86
PF00041,7LESS_DROVI/1918-2000,EPHA3_CHICK/326-427,83,102,0.0991,0,74,0.0,0.0,0.0,15.75,0.5,0.473,0.4861,348.79
PF00595,SP4B_BACSU/103-184,PSMD9_YEAST/99-191,82,93,0.0947,0,80,0.5882,0.125,0.2062,14.67,0.6333,0.475,0.5429,346.45
PF00089,CASP_MESAU/445-682,DEGPL_BRUA2/125-298,238,174,0.0988,0,169,0.0,0.0,0.0,79.62,0.2581,0.2367,0.2469,354.11
PF00076,GBP2_YEAST/351-420,MODU_DROME/260-325,70,66,0.0986,0,65,0.0,0.0,0.0,8.61,0.8548,0.8154,0.8346,413.96
PF00043,Q4CXW2_TRYCC/105-198,GSTM2_CHICK/104-192,94,89,0.0957,0,87,0.2973,0.1264,0.1774,15.89,0.2442,0.2414,0.2428,372.01
PF00076,SRSF1_HUMAN/123-186,SART3_YEAST/212-283,64,72,0.0959,0,63,0.0,0.0,0.0,9.48,0.8364,0.7302,0.7797,430.18
PF00041,TIE2_HUMAN/449-535,TIE2_HUMAN/544-632,87,89,0.0982,0,64,0.6667,0.3438,0.4536,14.53,0.3425,0.3906,0.365,380.8
PF00043,YIBF_ECOLI/96-192,GSTA_ECOLI/100-189,97,90,0.0816,0,89,0.0,0.0,0.0,16.27,0.9275,0.7191,0.8101,539.72
PF00583,YKWB_BACSU/28-163,Q47625_ECOLX/349-467,136,119,0.0878,0,107,0.2941,0.1402,0.1899,43.46,1.0,0.2056,0.3411,486.52
PF00595,PRC_ECOLI/238-320,HTOA_HAEIN/268-358,83,91,0.0918,0,76,0.0,0.0,0.0,16.67,0.2903,0.2368,0.2609,393.05
PF00013,A1C7J2_ASPCL/505-568,PNP_ELUMP/560-619,64,60,0.0735,0,56,0.0,0.0,0.0,7.19,0.6034,0.625,0.614,345.45
PF00041,TIE2_HUMAN/449-535,MPSF_CHICK/601-690,87,90,0.0943,0,71,0.0,0.0,0.0,14.67,0.4795,0.493,0.4861,365.73
PF00027,Q89V10_BRADU/66-154,PDE5_DICDI/752-837,89,86,0.0947,0,80,0.7143,0.125,0.2128,14.45,0.8193,0.85,0.8344,439.5
